"","Player","Team","Season","Class","Year out of HS","Year Played","Games Played","PPR Points","PPR Points per Game","Draft Pick Overall","Top 5 Finishes","Top 12 Finishes","Top 24 Finishes","Avg PPR PPG Seasons 1-3"
"1","Justin Fields","Ohio State",2019,2021,2,2,14,387.3,27.7,11,0,0,0,10.6
"2","Tua Tagovailoa","Alabama",2018,2020,2,2,15,363.6,24.2,5,0,0,1,13.8
"3","Jameis Winston","Florida State",2013,2015,2,2,14,348.2,24.9,1,0,1,5,16.3
"4","C.J. Stroud","Ohio State",2021,2023,2,2,12,337.4,28.1,2,0,0,0,0
"5","C.J. Stroud","Ohio State",2022,2023,3,3,13,308.3,23.7,2,0,0,0,0
"6","Tua Tagovailoa","Alabama",2019,2020,3,3,9,251.3,27.9,5,0,0,1,13.8
"7","Jameis Winston","Florida State",2014,2015,3,3,13,244.8,18.8,1,0,1,5,16.3
"8","Justin Fields","Ohio State",2020,2021,3,3,8,228.3,28.5,11,0,0,0,10.6
"9","Tua Tagovailoa","Alabama",2017,2020,1,1,8,90.7,11.3,5,0,0,1,13.8
"10","Justin Fields","Ohio State",2018,2021,1,1,12,79.7,6.6,11,0,0,0,10.6
"11","C.J. Stroud","Ohio State",2020,2023,1,1,1,10.8,10.8,2,0,0,0,0
"12","Jameis Winston","Florida State",2012,2015,1,1,NA,0,NA,1,0,1,5,16.3
"13","Jeff Driskel","Louisiana Tech",2015,2016,5,5,13,315.6,24.3,207,0,0,0,8.9
"14","Jeff Driskel","Louisiana Tech",2012,2016,2,2,12,168.6,14.1,207,0,0,0,8.9
"15","Jeff Driskel","Louisiana Tech",2014,2016,4,4,9,103.6,11.5,207,0,0,0,8.9
"16","Jeff Driskel","Louisiana Tech",2013,2016,3,3,3,30.9,10.3,207,0,0,0,8.9
"17","Jeff Driskel","Louisiana Tech",2011,2016,1,1,5,3.7,0.7,207,0,0,0,8.9
"18","Caleb Williams","USC",2022,2024,2,2,14,435.6,31.1,NA,0,0,0,0
"19","Caleb Williams","USC",2023,2024,3,3,12,329.3,27.4,NA,0,0,0,0
"20","Spencer Rattler","South Carolina",2020,2024,2,2,11,267.2,24.3,NA,0,0,0,0
"21","Caleb Williams","USC",2021,2024,1,1,11,230.7,21,NA,0,0,0,0
"22","Tanner Morgan","Minnesota",2019,2023,3,2,13,228.4,17.6,NA,0,0,0,0
"23","Shea Patterson","Michigan",2019,2020,4,4,13,223.4,17.2,NA,0,0,0,0
"24","Spencer Rattler","South Carolina",2023,2024,5,5,12,221.6,18.5,NA,0,0,0,0
"25","Shea Patterson","Michigan",2018,2020,3,3,13,212.9,16.4,NA,0,0,0,0
"26","Blake Barnett","South Florida",2018,2020,4,7,11,211.4,19.2,NA,0,0,0,0
"27","Blake Barnett","South Florida",2018,2020,4,8,11,211.4,19.2,NA,0,0,0,0
"28","Cade Klubnik","Clemson",2023,2025,2,2,13,206,15.8,NA,0,0,0,0
"29","Spencer Rattler","South Carolina",2022,2024,4,4,13,186.6,14.4,NA,0,0,0,0
"30","Shea Patterson","Michigan",2017,2020,2,2,7,144.8,20.7,NA,0,0,0,0
"31","Sean White","Auburn",2016,2017,3,3,11,121.5,11,NA,0,0,0,0
"32","Spencer Rattler","South Carolina",2021,2024,3,3,9,117,13,NA,0,0,0,0
"33","Tanner Morgan","Minnesota",2021,2023,5,4,13,110.9,8.5,NA,0,0,0,0
"34","Tanner Morgan","Minnesota",2022,2023,6,5,9,110.8,12.3,NA,0,0,0,0
"35","Tanner Morgan","Minnesota",2018,2023,2,1,9,87.1,9.7,NA,0,0,0,0
"36","Shea Patterson","Michigan",2016,2020,1,1,3,68.1,22.7,NA,0,0,0,0
"37","Tanner Morgan","Minnesota",2020,2023,4,3,7,67.5,9.6,NA,0,0,0,0
"38","Cade Klubnik","Clemson",2022,2025,1,1,10,58.7,5.9,NA,0,0,0,0
"39","Jackson Arnold","Oklahoma",2023,2026,1,1,6,48.1,8,NA,0,0,0,0
"40","Sean White","Auburn",2015,2017,2,2,7,46.1,6.6,NA,0,0,0,0
"41","Blake Barnett","South Florida",2019,2020,5,9,4,33.7,8.4,NA,0,0,0,0
"42","Blake Barnett","South Florida",2019,2020,5,10,4,33.7,8.4,NA,0,0,0,0
"43","Neal Burcham","SMU",2013,2015,2,2,4,16,4,NA,0,0,0,0
"44","Blake Barnett","South Florida",2016,2020,2,3,3,15.1,5,NA,0,0,0,0
"45","Blake Barnett","South Florida",2016,2020,2,4,3,15.1,5,NA,0,0,0,0
"46","Spencer Rattler","South Carolina",2019,2024,1,1,3,9.5,3.2,NA,0,0,0,0
"47","Blake Barnett","South Florida",2015,2020,1,1,NA,0,NA,NA,0,0,0,0
"48","Blake Barnett","South Florida",2015,2020,1,2,NA,0,NA,NA,0,0,0,0
"49","Sean White","Auburn",2014,2017,1,1,NA,0,NA,NA,0,0,0,0
"50","Neal Burcham","SMU",2012,2015,1,1,NA,0,NA,NA,0,0,0,0
"51","Blake Barnett","South Florida",2017,2020,3,5,2,-0.7,-0.3,NA,0,0,0,0
"52","Blake Barnett","South Florida",2017,2020,3,6,2,-0.7,-0.3,NA,0,0,0,0
"53","Neal Burcham","SMU",2014,2015,3,3,2,-1.9,-0.9,NA,0,0,0,0
